#Фразы с занятий с Дашей 
#separator:Semicolon
#html:true
#tags:daria redelmittel
#notetype:German:Expression
#columns:Front;Back;Example;ExampleTranslation;Notes;Context;ContextTranslation
Es brauchte irgendwelche Zeit;Это заняло какое-то время;;;;;;
Du hast recht;Ты прав;A: Ich glaube, wir sollten den Zug nehmen. B: Ja, <b>du hast recht</b>.;A: Я думаю, нам стоит поехать на поезде. B: Да, <b>ты прав</b>.;;;;
... nicht nur ..., sondern auch ...;Не только ..., но и ...;Ich mag <b>nicht nur</b> Pilze sammeln, <b>sondern auch</b> die Pflanze gießen.<br />Ich will <b>nicht nur</b> ins Kino, <b>sondern auch</b> ins Theater gehen.<br />Ich bevorzuge <b>nicht nur</b> Flugzeugmodelle bauen, <b>sondern auch</b> Musik produzieren.;Я люблю <b>не только</b> собирать грибы, <b>но и</b> поливать цветы.<br />Я хочу <b>не только</b> в кино, <b>но и</b> в театр пойти.<br />Я преподчитаю <b>не только</b> собирать модели самолетов, <b>но и</b> писать музыку.;;;;
